SNOW,SNWD,TMAX,TMIN,ADPT,ASLP,ASTP,AWBT,AWND,RHAV,RHMN,RHMX,WDF2,WDF5,WSF2,WSF5,Rain,year,month,day,dayofweek,month_sin,month_cos
13.0,250.0,-10.0,-55.0,-56.0,9942.0,9705.0,-39.0,28.0,83.0,72.0,92.0,300.0,280.0,54.0,81.0,1,2020,1,1,2,0.49999999999999994,0.8660254037844387
0.0,250.0,6.0,-55.0,-61.0,10037.0,9793.0,-39.0,24.0,77.0,66.0,88.0,250.0,250.0,67.0,98.0,0,2020,1,2,3,0.49999999999999994,0.8660254037844387
3.0,200.0,33.0,-43.0,-17.0,10037.0,9804.0,0.0,18.0,85.0,79.0,92.0,240.0,240.0,63.0,85.0,0,2020,1,3,4,0.49999999999999994,0.8660254037844387
0.0,180.0,28.0,-21.0,-33.0,10047.0,9810.0,-17.0,20.0,79.0,69.0,92.0,330.0,320.0,45.0,58.0,0,2020,1,4,5,0.49999999999999994,0.8660254037844387
18.0,200.0,-16.0,-93.0,-100.0,10030.0,9783.0,-72.0,56.0,75.0,65.0,85.0,330.0,340.0,103.0,143.0,1,2020,1,5,6,0.49999999999999994,0.8660254037844387
13.0,230.0,-82.0,-105.0,-139.0,10122.0,9875.0,-106.0,26.0,70.0,62.0,84.0,340.0,320.0,67.0,98.0,1,2020,1,6,0,0.49999999999999994,0.8660254037844387
5.0,250.0,-32.0,-121.0,-117.0,10129.0,9881.0,-94.0,13.0,77.0,62.0,88.0,230.0,240.0,58.0,72.0,0,2020,1,7,1,0.49999999999999994,0.8660254037844387
23.0,230.0,-55.0,-121.0,-106.0,10085.0,9848.0,-89.0,10.0,84.0,78.0,89.0,300.0,300.0,54.0,81.0,1,2020,1,8,2,0.49999999999999994,0.8660254037844387
3.0,250.0,-55.0,-182.0,-178.0,10305.0,10027.0,-133.0,45.0,61.0,46.0,81.0,310.0,310.0,116.0,161.0,0,2020,1,9,3,0.49999999999999994,0.8660254037844387
0.0,230.0,11.0,-166.0,-111.0,10268.0,10034.0,-78.0,30.0,69.0,58.0,79.0,170.0,160.0,81.0,112.0,0,2020,1,10,4,0.49999999999999994,0.8660254037844387
10.0,230.0,39.0,-10.0,0.0,10163.0,9929.0,11.0,30.0,89.0,78.0,97.0,10.0,20.0,76.0,103.0,1,2020,1,11,5,0.49999999999999994,0.8660254037844387
325.0,330.0,-10.0,-155.0,-111.0,10224.0,9970.0,-94.0,49.0,83.0,75.0,89.0,70.0,20.0,81.0,112.0,1,2020,1,12,6,0.49999999999999994,0.8660254037844387
36.0,410.0,-77.0,-182.0,-150.0,10328.0,10085.0,-128.0,11.0,81.0,70.0,88.0,20.0,350.0,36.0,45.0,1,2020,1,13,0,0.49999999999999994,0.8660254037844387
0.0,410.0,-82.0,-160.0,-150.0,10278.0,10030.0,-128.0,16.0,80.0,64.0,88.0,330.0,330.0,45.0,54.0,0,2020,1,14,1,0.49999999999999994,0.8660254037844387
43.0,430.0,-38.0,-116.0,-94.0,10163.0,9925.0,-78.0,17.0,83.0,72.0,88.0,360.0,330.0,40.0,54.0,1,2020,1,15,2,0.49999999999999994,0.8660254037844387
23.0,430.0,-32.0,-132.0,-94.0,10129.0,9885.0,-78.0,21.0,81.0,70.0,89.0,360.0,360.0,103.0,130.0,1,2020,1,16,3,0.49999999999999994,0.8660254037844387
0.0,460.0,-132.0,-221.0,-228.0,10281.0,10014.0,-183.0,69.0,67.0,59.0,77.0,330.0,340.0,116.0,161.0,0,2020,1,17,4,0.49999999999999994,0.8660254037844387
3.0,410.0,-105.0,-255.0,-233.0,10284.0,10047.0,-200.0,20.0,71.0,59.0,79.0,310.0,310.0,58.0,76.0,0,2020,1,18,5,0.49999999999999994,0.8660254037844387
241.0,460.0,-99.0,-182.0,-156.0,10081.0,9837.0,-133.0,47.0,80.0,77.0,84.0,360.0,360.0,81.0,107.0,1,2020,1,19,6,0.49999999999999994,0.8660254037844387
0.0,530.0,-88.0,-193.0,-178.0,10176.0,9915.0,-144.0,32.0,68.0,53.0,80.0,340.0,340.0,81.0,103.0,0,2020,1,20,0,0.49999999999999994,0.8660254037844387
0.0,510.0,-116.0,-271.0,-200.0,10264.0,10014.0,-172.0,23.0,72.0,63.0,79.0,180.0,200.0,45.0,63.0,0,2020,1,21,1,0.49999999999999994,0.8660254037844387
0.0,510.0,-49.0,-127.0,-122.0,10261.0,10017.0,-94.0,31.0,77.0,71.0,84.0,180.0,180.0,58.0,72.0,0,2020,1,22,2,0.49999999999999994,0.8660254037844387
0.0,480.0,17.0,-71.0,-61.0,10237.0,9990.0,-33.0,32.0,74.0,67.0,81.0,240.0,250.0,67.0,85.0,0,2020,1,23,3,0.49999999999999994,0.8660254037844387
0.0,460.0,-16.0,-132.0,-94.0,10322.0,10071.0,-67.0,20.0,75.0,60.0,92.0,360.0,360.0,54.0,63.0,0,2020,1,24,4,0.49999999999999994,0.8660254037844387
0.0,460.0,-10.0,-160.0,-89.0,10278.0,10044.0,-72.0,20.0,85.0,78.0,92.0,140.0,130.0,58.0,76.0,0,2020,1,25,5,0.49999999999999994,0.8660254037844387
5.0,430.0,22.0,-32.0,-11.0,10037.0,9821.0,0.0,25.0,92.0,88.0,96.0,90.0,90.0,63.0,85.0,1,2020,1,26,6,0.49999999999999994,0.8660254037844387
38.0,430.0,6.0,-43.0,-39.0,9970.0,9732.0,-22.0,43.0,82.0,75.0,92.0,360.0,310.0,81.0,103.0,1,2020,1,27,0,0.49999999999999994,0.8660254037844387
0.0,430.0,-43.0,-143.0,-117.0,10075.0,9827.0,-89.0,40.0,76.0,68.0,84.0,360.0,10.0,72.0,89.0,0,2020,1,28,1,0.49999999999999994,0.8660254037844387
0.0,410.0,-88.0,-160.0,-167.0,10163.0,9905.0,-133.0,49.0,72.0,59.0,87.0,330.0,340.0,98.0,134.0,0,2020,1,29,2,0.49999999999999994,0.8660254037844387
0.0,410.0,-55.0,-171.0,-167.0,10244.0,9993.0,-133.0,19.0,69.0,50.0,83.0,330.0,340.0,58.0,72.0,0,2020,1,30,3,0.49999999999999994,0.8660254037844387
0.0,410.0,-38.0,-221.0,-178.0,10244.0,9997.0,-144.0,8.0,71.0,53.0,91.0,10.0,10.0,31.0,31.0,0,2020,1,31,4,0.49999999999999994,0.8660254037844387
0.0,410.0,-43.0,-182.0,-139.0,10142.0,9915.0,-106.0,4.0,70.0,55.0,84.0,360.0,350.0,27.0,36.0,0,2020,2,1,5,0.8660254037844386,0.5000000000000001
0.0,410.0,-21.0,-93.0,-94.0,9983.0,9753.0,-67.0,28.0,77.0,66.0,84.0,330.0,320.0,63.0,81.0,0,2020,2,2,6,0.8660254037844386,0.5000000000000001
3.0,410.0,22.0,-93.0,-72.0,10007.0,9756.0,-44.0,26.0,75.0,46.0,88.0,250.0,280.0,63.0,94.0,0,2020,2,3,0,0.8660254037844386,0.5000000000000001
0.0,380.0,-5.0,-82.0,-72.0,10075.0,9837.0,-50.0,18.0,75.0,64.0,88.0,310.0,320.0,63.0,94.0,0,2020,2,4,1,0.8660254037844386,0.5000000000000001
0.0,380.0,-27.0,-166.0,-167.0,10139.0,9881.0,-111.0,41.0,57.0,45.0,76.0,330.0,300.0,94.0,121.0,0,2020,2,5,2,0.8660254037844386,0.5000000000000001
81.0,380.0,-71.0,-166.0,-139.0,10119.0,9888.0,-117.0,22.0,78.0,69.0,84.0,160.0,160.0,54.0,58.0,1,2020,2,6,3,0.8660254037844386,0.5000000000000001
325.0,510.0,-66.0,-105.0,-100.0,9925.0,9705.0,-83.0,67.0,83.0,77.0,88.0,10.0,10.0,134.0,174.0,1,2020,2,7,4,0.8660254037844386,0.5000000000000001
5.0,690.0,-93.0,-199.0,-178.0,10112.0,9831.0,-150.0,33.0,69.0,59.0,83.0,330.0,330.0,94.0,121.0,1,2020,2,8,5,0.8660254037844386,0.5000000000000001
0.0,690.0,-77.0,-232.0,-200.0,10312.0,10058.0,-167.0,24.0,68.0,47.0,83.0,210.0,200.0,58.0,72.0,0,2020,2,9,6,0.8660254037844386,0.5000000000000001
104.0,740.0,-21.0,-143.0,-100.0,10186.0,9946.0,-83.0,8.0,84.0,73.0,92.0,170.0,160.0,36.0,40.0,1,2020,2,10,0,0.8660254037844386,0.5000000000000001
0.0,740.0,-10.0,-105.0,-61.0,10132.0,9909.0,-44.0,13.0,87.0,81.0,96.0,180.0,150.0,40.0,58.0,0,2020,2,11,1,0.8660254037844386,0.5000000000000001
0.0,740.0,17.0,-49.0,-72.0,10095.0,9851.0,-39.0,38.0,66.0,47.0,88.0,300.0,300.0,81.0,112.0,0,2020,2,12,2,0.8660254037844386,0.5000000000000001
15.0,710.0,-16.0,-160.0,-128.0,10058.0,9821.0,-89.0,39.0,67.0,60.0,85.0,360.0,360.0,81.0,103.0,1,2020,2,13,3,0.8660254037844386,0.5000000000000001
0.0,710.0,-155.0,-288.0,-261.0,10230.0,9959.0,-206.0,40.0,57.0,40.0,73.0,330.0,330.0,89.0,116.0,0,2020,2,14,4,0.8660254037844386,0.5000000000000001
0.0,660.0,-82.0,-310.0,-233.0,10281.0,10041.0,-183.0,35.0,60.0,46.0,78.0,210.0,210.0,76.0,103.0,0,2020,2,15,5,0.8660254037844386,0.5000000000000001
0.0,660.0,0.0,-116.0,-100.0,10142.0,9905.0,-61.0,38.0,67.0,61.0,75.0,230.0,240.0,76.0,98.0,0,2020,2,16,6,0.8660254037844386,0.5000000000000001
3.0,640.0,-16.0,-199.0,-144.0,10220.0,9966.0,-106.0,39.0,64.0,47.0,81.0,330.0,320.0,89.0,107.0,0,2020,2,17,0,0.8660254037844386,0.5000000000000001
86.0,640.0,-49.0,-266.0,-178.0,10274.0,10047.0,-150.0,37.0,72.0,49.0,89.0,160.0,160.0,103.0,130.0,1,2020,2,18,1,0.8660254037844386,0.5000000000000001
